"Class","Implemented descriptors","Ref."
"Constitutional","Atom and bond counts, molecular weight",""
"","Aromatic atom and bond counts",""
"","Hydrogen bond donor/acceptor counts",""
"","Rotatable bond count",""
"","Proton type",""
"","Pi-contact of two atoms","[16]"
"","Proton RDF","[17]"
"","Rule of Five","[18]"
"","XLogP","[19]"
"Topological","Xₜ indices (°Xₜ and ¹Xₜ)","[20-22]"
"","Xᵥ indices (°Xᵥ and ¹Xᵥ)","[20-22]"
"","Wiener number","[23]"
"","Zagreb index","[24]"
"","Vertex adjacency information",""
"","Atomic degree",""
"","Petitjean number","[25]"
"","K shape indices (¹K,²K ,³K)","[26-28]"
"Geometric","",""
"","",""
"","",""
"","",""
"Electronic","",""
"","",""
"","",""
"","",""
"Hybrid","BCUT",""
"","WHIM",""
"","Topological surface area",""
